caller	call_address	first_argument_push	push_span_bytes	arg_0_x	arg_4_y	arg_8_width	arg_C_height	arg_10_flags	arg_14_auxiliary	flags_immediate	low_flags	mode	flip_bits	family_selection
sub_449C30	0x00449D5A	0x00449D59	35	edx	ecx	eax	edx	4	0	0x00000004	0x0004	0x04	0	source header selects RLE/span or raw/+0x80
sub_44FFE0	0x00450053	0x00450052	19	esi	edi	edx	ecx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_44FFE0	0x004500A0	0x0045009F	13	esi	edi	ecx	edx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_44FFE0	0x004500EB	0x004500EA	19	esi	edi	edx	ecx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_44FFE0	0x0045013C	0x0045013B	19	ebp	edi	ecx	edx	0	ecx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_44FFE0	0x00450182	0x00450181	19	esi	edi	edx	ecx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_44FFE0	0x004501D2	0x004501D1	19	ebp	edi	ecx	edx	0	ecx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_44FFE0	0x0045021B	0x0045021A	13	esi	edi	ecx	edx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_44FFE0	0x0045025E	0x0045025D	19	esi	edi	edx	ecx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_450270	0x004502A5	0x004502A4	22	eax	edx	ecx	edx	0	0	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4502B0	0x0045038D	0x0045038C	29	ecx	eax	edx	ecx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4502B0	0x004503E7	0x004503E6	30	edi	esi	ecx	edx	ecx	edx					runtime/unresolved
